product_id,name,category,subcategory,brand,price,rating,num_reviews,stock_quantity,description,content
100001,Draper & Co Elegant Sneakers,Fashion,Footwear,Draper & Co,48.18,4.3,142,364,Elegant sneakers with reinforced stitching.,draper co elegant sneakers draper co draper co fashion fashion footwear footwear elegant sneakers with reinforced stitching
100002,Chapter & Verse Handmade Picture Book,Books & Stationery,Children's Books,Chapter & Verse,43.86,4.0,130,258,Handmade picture book made from recycled paper.,chapter verse handmade picture book chapter verse chapter verse books stationery books stationery children s books children s books handmade picture book made from recycled paper
100003,Kindred Classic Jacket,Fashion,Men's Clothing,Kindred,73.81,3.7,213,105,Classic jacket with adjustable strap.,kindred classic jacket kindred kindred fashion fashion men s clothing men s clothing classic jacket with adjustable strap
100004,Wholesome Roots Artisanal Cereal Box,Groceries & Gourmet,Breakfast Foods,Wholesome Roots,25.01,5.0,107,276,Artisanal cereal box rich in flavor.,wholesome roots artisanal cereal box wholesome roots wholesome roots groceries gourmet groceries gourmet breakfast foods breakfast foods artisanal cereal box rich in flavor
100005,Whimsy Works Educational Card Game,Toys & Games,Board Games,Whimsy Works,72.69,4.5,25,17,Educational card game helps develop motor skills.,whimsy works educational card game whimsy works whimsy works toys games toys games board games board games educational card game helps develop motor skills
100006,Novara Portable Mirrorless Camera,Electronics,Cameras,Novara,759.75,4.5,181,399,Portable mirrorless camera with long battery life.,novara portable mirrorless camera novara novara electronics electronics cameras cameras portable mirrorless camera with long battery life
100007,Everstride Compact Sleeping Bag,Sports & Outdoors,Camping Gear,Everstride,456.02,4.8,24,285,Compact sleeping bag with quick-dry material.,everstride compact sleeping bag everstride everstride sports outdoors sports outdoors camping gear camping gear compact sleeping bag with quick dry material
100008,Aerofy Noise-Cancelling Action Camera,Electronics,Cameras,Aerofy,117.35,4.4,12,461,Noise-Cancelling action camera with fast processor.,aerofy noise cancelling action camera aerofy aerofy electronics electronics cameras cameras noise cancelling action camera with fast processor
100009,Skyline Portable Digital Camera,Electronics,Cameras,Skyline,188.59,4.3,61,447,Portable digital camera with voice assistant support.,skyline portable digital camera skyline skyline electronics electronics cameras cameras portable digital camera with voice assistant support
100010,Coastline Slim-Fit Ring,Fashion,Jewelry,Coastline,57.69,3.7,98,207,Slim-Fit ring available in multiple colors.,coastline slim fit ring coastline coastline fashion fashion jewelry jewelry slim fit ring available in multiple colors
100011,Novella Co Hardcover Biography,Books & Stationery,Non-Fiction,Novella Co,19.26,3.5,49,46,Hardcover biography great for journaling and note-taking.,novella co hardcover biography novella co novella co books stationery books stationery non fiction non fiction hardcover biography great for journaling and note taking
100012,Meadowbrook Whole Grain Organic Honey,Groceries & Gourmet,Organic Foods,Meadowbrook,42.05,4.4,160,467,Whole Grain organic honey carefully crafted for taste and quality.,meadowbrook whole grain organic honey meadowbrook meadowbrook groceries gourmet groceries gourmet organic foods organic foods whole grain organic honey carefully crafted for taste and quality
100013,Clearview Elegant Air Fryer,Home & Kitchen,Kitchen Appliances,Clearview,254.0,3.6,9,214,Elegant air fryer with a soft-touch handle.,clearview elegant air fryer clearview clearview home kitchen home kitchen kitchen appliances kitchen appliances elegant air fryer with a soft touch handle
100014,Alderwood Ergonomic Floor Lamp,Home & Kitchen,Lighting,Alderwood,100.82,4.4,135,334,Ergonomic floor lamp ideal for small kitchens.,alderwood ergonomic floor lamp alderwood alderwood home kitchen home kitchen lighting lighting ergonomic floor lamp ideal for small kitchens
100015,Farmside Organic Chips Pack,Groceries & Gourmet,Snacks,Farmside,25.86,4.0,77,202,Organic chips pack a pantry staple for every kitchen.,farmside organic chips pack farmside farmside groceries gourmet groceries gourmet snacks snacks organic chips pack a pantry staple for every kitchen
100016,Quillcraft Premium Fountain Pen,Books & Stationery,Pens & Pencils,Quillcraft,25.12,4.5,43,401,Premium fountain pen with a durable cover.,quillcraft premium fountain pen quillcraft quillcraft books stationery books stationery pens pencils pens pencils premium fountain pen with a durable cover
100017,Cazuela Multi-Purpose Blender,Home & Kitchen,Kitchen Appliances,Cazuela,364.13,4.3,41,389,Multi-Purpose blender great for daily household use.,cazuela multi purpose blender cazuela cazuela home kitchen home kitchen kitchen appliances kitchen appliances multi purpose blender great for daily household use
