product_id,name,category,subcategory,brand,price,rating,num_reviews,stock_quantity,description
100001,Draper & Co Elegant Sneakers,Fashion,Footwear,Draper & Co,48.18,4.3,142,364,Elegant sneakers with reinforced stitching.
100002,Chapter & Verse Handmade Picture Book,Books & Stationery,Children's Books,Chapter & Verse,43.86,4.0,130,258,Handmade picture book made from recycled paper.
100003,Kindred Classic Jacket,Fashion,Men's Clothing,Kindred,73.81,3.7,213,105,Classic jacket with adjustable strap.
100004,Wholesome Roots Artisanal Cereal Box,Groceries & Gourmet,Breakfast Foods,Wholesome Roots,25.01,5.0,107,276,Artisanal cereal box rich in flavor.
100005,Whimsy Works Educational Card Game,Toys & Games,Board Games,Whimsy Works,72.69,4.5,25,17,Educational card game helps develop motor skills.
100006,Novara Portable Mirrorless Camera,Electronics,Cameras,Novara,759.75,4.5,181,399,Portable mirrorless camera with long battery life.
100007,Everstride Compact Sleeping Bag,Sports & Outdoors,Camping Gear,Everstride,456.02,4.8,24,285,Compact sleeping bag with quick-dry material.
100008,Aerofy Noise-Cancelling Action Camera,Electronics,Cameras,Aerofy,117.35,4.4,12,461,Noise-Cancelling action camera with fast processor.
100009,Skyline Portable Digital Camera,Electronics,Cameras,Skyline,188.59,4.3,61,447,Portable digital camera with voice assistant support.
100010,Coastline Slim-Fit Ring,Fashion,Jewelry,Coastline,57.69,3.7,98,207,Slim-Fit ring available in multiple colors.
100011,Novella Co Hardcover Biography,Books & Stationery,Non-Fiction,Novella Co,19.26,3.5,49,46,Hardcover biography great for journaling and note-taking.
100012,Meadowbrook Whole Grain Organic Honey,Groceries & Gourmet,Organic Foods,Meadowbrook,42.05,4.4,160,467,Whole Grain organic honey carefully crafted for taste and quality.
100013,Clearview Elegant Air Fryer,Home & Kitchen,Kitchen Appliances,Clearview,254.0,3.6,9,214,Elegant air fryer with a soft-touch handle.
100014,Alderwood Ergonomic Floor Lamp,Home & Kitchen,Lighting,Alderwood,100.82,4.4,135,334,Ergonomic floor lamp ideal for small kitchens.
100015,Farmside Organic Chips Pack,Groceries & Gourmet,Snacks,Farmside,25.86,4.0,77,202,Organic chips pack a pantry staple for every kitchen.
100016,Quillcraft Premium Fountain Pen,Books & Stationery,Pens & Pencils,Quillcraft,25.12,4.5,43,401,Premium fountain pen with a durable cover.
100017,Cazuela Multi-Purpose Blender,Home & Kitchen,Kitchen Appliances,Cazuela,364.13,4.3,41,389,Multi-Purpose blender great for daily household use.
100018,Novara Portable Flagship Phone,Electronics,Smartphones,Novara,1078.74,4.3,11,407,Portable flagship phone with long battery life.
100019,Lunetta Elegant Duffel Bag,Fashion,Bags,Lunetta,228.13,4.7,316,64,Elegant duffel bag featuring a timeless design.
100020,Skyline Bluetooth Headphones,Electronics,Headphones,Skyline,1122.57,4.3,33,496,Bluetooth headphones with touch controls.
100021,Boulevard Contemporary Pillow Set,Home & Kitchen,Bedding,Boulevard,348.51,4.9,131,253,Contemporary pillow set perfect for gifting.
100022,Vortix Reinforced Running Shoes,Sports & Outdoors,Running,Vortix,467.32,3.2,465,353,Reinforced running shoes with adjustable resistance levels.
100023,Wholesome Roots All-Natural Protein Powder,Groceries & Gourmet,Health Foods,Wholesome Roots,32.93,4.4,171,27,All-Natural protein powder sourced from trusted farms.
100024,Trailmark Weather-Resistant Hiking Boots,Sports & Outdoors,Hiking,Trailmark,437.97,4.2,37,266,Weather-Resistant hiking boots lightweight for easy carrying.
100025,BrightMind Educational RC Helicopter,Toys & Games,Remote Control,BrightMind,106.13,4.4,50,66,Educational rc helicopter made with non-toxic materials.
100026,Skyline Fast-Charging Ultrabook,Electronics,Laptops,Skyline,904.56,4.7,262,253,Fast-Charging ultrabook with voice assistant support.
100027,Sunvalley Organic Ground Coffee,Groceries & Gourmet,Beverages,Sunvalley,43.12,4.2,317,23,Organic ground coffee perfect for a healthy lifestyle.
